x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-1,-0.0703125,1.00494,-1.00001,-0.140619,2.72629e-06,1.04845e-05,2
-1,-0.0625,1.0039,-1.00001,-0.124992,2.73128e-06,1.23716e-05,2
-1,-0.0546875,1.00299,-1.00001,-0.109366,2.73595e-06,1.41812e-05,2
-1,-0.046875,1.00219,-1.00001,-0.0937399,2.74038e-06,1.59016e-05,2
-1,-0.0390625,1.00152,-1.00001,-0.0781136,2.74478e-06,1.75193e-05,2
-1,-0.03125,1.00097,-1.00001,-0.0624874,2.74946e-06,1.90664e-05,2
-1,-0.0234375,1.00055,-1.01993,-0.0280101,3.15775e-06,0.0274426,1
-1,-0.015625,1.00024,-1.01187,-0.0198344,6.18822e-07,0.0164701,1
-1,-0.0078125,1.00006,-1.00001,-0.0156154,2.55505e-06,1.38258e-05,2
-1,0,0.999997,-1.00005,4.96252e-05,2.59302e-06,7.01771e-05,2
-1,0.0078125,1.00006,-1.00004,0.0156635,2.60169e-06,5.36727e-05,2
-1,0.015625,1.00024,-1.00003,0.0312818,2.6044e-06,4.3578e-05,2
-1,0.0234375,1.00055,-1.00002,0.0469024,2.60304e-06,3.69979e-05,2
-1,0.03125,1.00097,-1.00002,0.0625243,2.59859e-06,3.24287e-05,2
-1,0.0390625,1.00152,-1.00002,0.078147,2.59205e-06,2.90082e-05,2
-1,0.046875,1.00219,-1.00002,0.0937702,2.58467e-06,2.62264e-05,2
-1,0.0546875,1.00299,-1.00001,0.109394,2.57791e-06,2.38084e-05,2
-1,0.0625,1.0039,-1.00001,0.125017,2.57301e-06,2.16484e-05,2
-1,0.0703125,1.00494,-1.00001,0.140641,2.57064e-06,1.97508e-05,2
-1,0.078125,1.0061,-1.00001,0.156265,2.57072e-06,1.81675e-05,2
-1,0.0859375,1.00842,-1.13154,0.586832,0.001037,0.435306,1
-1,0.09375,1.01528,-0.984738,1.02145,0.00649096,0.834093,2
-1,0.101562,inf,inf,inf,inf,inf,0
-1,0.109375,inf,inf,inf,inf,inf,0
-1,0.117188,inf,inf,inf,inf,inf,0
-1,0.125,inf,inf,inf,inf,inf,0
-1,0.132812,inf,inf,inf,inf,inf,0
-1,0.140625,inf,inf,inf,inf,inf,0
-1,0.148438,inf,inf,inf,inf,inf,0
-1,0.15625,inf,inf,inf,inf,inf,0
-1,0.164062,inf,inf,inf,inf,inf,0
-1,0.171875,inf,inf,inf,inf,inf,0
-1,0.179688,inf,inf,inf,inf,inf,0
-1,0.1875,inf,inf,inf,inf,inf,0
-1,0.195312,inf,inf,inf,inf,inf,0
-1,0.203125,inf,inf,inf,inf,inf,0
-1,0.210938,inf,inf,inf,inf,inf,0
-1,0.21875,inf,inf,inf,inf,inf,0
-1,0.226562,inf,inf,inf,inf,inf,0
-1,0.234375,inf,inf,inf,inf,inf,0
-1,0.242188,inf,inf,inf,inf,inf,0
-1,0.25,inf,inf,inf,inf,inf,0
-1,0.257812,inf,inf,inf,inf,inf,0
-1,0.265625,inf,inf,inf,inf,inf,0
-1,0.273438,inf,inf,inf,inf,inf,0
-1,0.28125,inf,inf,inf,inf,inf,0
-1,0.289062,inf,inf,inf,inf,inf,0
-1,0.296875,inf,inf,inf,inf,inf,0
-1,0.304688,inf,inf,inf,inf,inf,0
-1,0.3125,inf,inf,inf,inf,inf,0
-1,0.320312,inf,inf,inf,inf,inf,0
-1,0.328125,inf,inf,inf,inf,inf,0
-1,0.335938,inf,inf,inf,inf,inf,0
-1,0.34375,inf,inf,inf,inf,inf,0
-1,0.351562,inf,inf,inf,inf,inf,0
-1,0.359375,inf,inf,inf,inf,inf,0
-1,0.367188,inf,inf,inf,inf,inf,0
-1,0.375,inf,inf,inf,inf,inf,0
-1,0.382812,inf,inf,inf,inf,inf,0
-1,0.390625,inf,inf,inf,inf,inf,0
-1,0.398438,inf,inf,inf,inf,inf,0
-1,0.40625,inf,inf,inf,inf,inf,0
-1,0.414062,inf,inf,inf,inf,inf,0
