rank,i1,e1,e2,e3,ge1,x1,y1,u1,gu1x,gu1y,i2,x2,y2,u2,gu2x,gu2y,i3,x3,y3,u3,gu3x,gu3y,type,lambda,a0,a1,dist
1,82,-0.000419117527674,-0.008,0,0.0384992636447,0,0.4,0.159580882472,0.0281336949689,0.826280953342,72,0.2,0.2,0.12,0.8,0.4,71,0,0.2,0.04,0,0.4,2,0.563365864873,-0.54590338469,0.315531027794,1.41421356237
2,38,0.000865067524867,0.008,0,0.0584287228755,0,-0.4,0.160865067525,-0.0433939101343,-0.839126515563,48,-0.2,-0.2,0.12,-0.8,-0.4,49,0,-0.2,0.04,0,-0.4,2,0.582333103736,-0.536863032284,0.294518941074,1.41421356237
3,81,-0.00174157712935,-0.000419117527674,0.008,0.00861089451878,-0.2,0.4,0.230258422871,-0.679254342326,0.808578548773,82,0,0.4,0.159580882472,0.0281336949689,0.826280953342,70,-0.2,0.2,0.12,-0.8,0.4,2,0.228955391161,-0.292048557636,0.198701119041,1
4,37,0.00609151314072,0.000865067524867,0.008,0.0607404004042,-0.2,-0.4,0.238091513141,-0.740691848286,-0.802428125374,38,0,-0.4,0.160865067525,-0.0433939101343,-0.839126515563,48,-0.2,-0.2,0.12,-0.8,-0.4,2,0.881844101311,-0.191469560117,0.133038803488,1
5,83,-0.00553535921156,-0.000419117527674,-0.008,0.0340120478042,0.2,0.4,0.242464640788,0.886030334056,0.801697407278,82,0,0.4,0.159580882472,0.0281336949689,0.826280953342,72,0.2,0.2,0.12,0.8,0.4,2,0.909618683731,-0.102544558228,0.0689466096859,1
6,39,-0.00135916115353,0.000865067524867,-0.008,0.0369591741108,0.2,-0.4,0.246640838846,0.92178137545,-0.836916219368,38,0,-0.4,0.160865067525,-0.0433939101343,-0.839126515563,50,0.2,-0.2,0.12,0.8,-0.4,2,0.205615839298,-0.421246209289,0.287617018778,1
7,58,0.00805718898208,0.008,0.008,0.0190976753641,-0.4,0,0.264057188982,-1.13334029216,0.0136659360946,70,-0.2,0.2,0.12,-0.8,0.4,59,-0.2,0,0.08,-0.8,0,2,0.302340616298,-0.289405400592,0.153314340041,1.41421356237
8,69,0.00507918280387,-0.00174157712935,0.008,0.0408738092651,-0.4,0.2,0.301079182804,-1.10160994739,0.363496928225,81,-0.2,0.4,0.230258422871,-0.679254342326,0.808578548773,70,-0.2,0.2,0.12,-0.8,0.4,2,0.60418149043,-0.198184451784,0.114584342308,1.41421356237
9,47,0.00927341871665,0.00805718898208,0.008,0.0185565559761,-0.4,-0.2,0.305273418717,-1.10314311438,-0.407758297288,58,-0.4,0,0.264057188982,-1.13334029216,0.0136659360946,48,-0.2,-0.2,0.12,-0.8,-0.4,2,0.356449517899,-0.106723023776,0.0857183312217,1
10,93,-0.00194951900387,-0.00553535921156,-0.000419117527674,0.00996801350047,0,0.6,0.358050480996,0.00708972889156,1.20700692781,83,0.2,0.4,0.242464640788,0.886030334056,0.801697407278,82,0,0.4,0.159580882472,0.0281336949689,0.826280953342,2,0.409808615846,-0.331604743372,0.245219799262,1.41421356237
11,27,0.00331913011715,0.00609151314072,0.000865067524867,0.0478493893574,0,-0.6,0.363319130117,-0.0347751609886,-1.23286719094,37,-0.2,-0.4,0.238091513141,-0.740691848286,-0.802428125374,38,0,-0.4,0.160865067525,-0.0433939101343,-0.839126515563,2,0.429871173719,-0.303940372646,0.214014367797,1.41421356237
12,62,-0.00797793453283,-0.008,-0.008,0.00425391999204,0.4,0,0.376022065467,2.08300362257,-0.00301232248807,50,0.2,-0.2,0.12,0.8,-0.4,61,0.2,0,0.08,0.8,0,2,0.230719180993,-0.224500900826,0.127462437129,1.41421356237
13,73,-0.0106665495881,-0.00797793453283,-0.008,0.0231418801297,0.4,0.2,0.413333450412,2.09905875156,0.386873286596,62,0.4,0,0.376022065467,2.08300362257,-0.00301232248807,72,0.2,0.2,0.12,0.8,0.4,2,0.431884690801,-0.0495068894256,0.0391597243715,1
14,80,-0.00166642497317,-0.00194951900387,-0.00174157712935,0.0117166945345,-0.4,0.4,0.414333575027,-1.12185660978,0.811568661588,93,0,0.6,0.358050480996,0.00708972889156,1.20700692781,81,-0.2,0.4,0.230258422871,-0.679254342326,0.808578548773,2,0.956818625989,-0.177214712069,0.112206849022,2.2360679775
15,51,-0.00596984205944,-0.00135916115353,-0.008,0.0394413422994,0.4,-0.2,0.418030157941,2.10168872704,-0.432942656268,39,0.2,-0.4,0.246640838846,0.92178137545,-0.836916219368,50,0.2,-0.2,0.12,0.8,-0.4,2,0.567012856034,-0.258288890858,0.161850172545,1.41421356237
16,36,0.00995641545298,0.00927341871665,0.00609151314072,0.00120770577062,-0.4,-0.4,0.425956415453,-1.11880860341,-0.800197806436,47,-0.4,-0.2,0.305273418717,-1.10314311438,-0.407758297288,37,-0.2,-0.4,0.238091513141,-0.740691848286,-0.802428125374,2,0.203896049107,-0.104289861932,0.0870388823346,1
17,92,-0.00219954013119,-0.00194951900387,-0.00174157712935,0.00102354607126,-0.2,0.6,0.429800459869,-0.679726619273,1.20098636177,93,0,0.6,0.358050480996,0.00708972889156,1.20700692781,81,-0.2,0.4,0.230258422871,-0.679254342326,0.808578548773,2,0.301407253385,-0.174638924188,0.137274467412,1
18,26,0.00747664271299,0.00995641545298,0.00609151314072,0.045689714602,-0.2,-0.6,0.439476642713,-0.724309477198,-1.21114541389,36,-0.4,-0.4,0.425956415453,-1.11880860341,-0.800197806436,37,-0.2,-0.4,0.238091513141,-0.740691848286,-0.802428125374,2,0.890857516025,-0.149411187673,0.114785789747,1.41421356237
19,94,-0.00575364078853,-0.0106665495881,-0.00553535921156,0.00179445134849,0.2,0.6,0.442246359211,0.918221195758,1.1997635447,73,0.4,0.2,0.413333450412,2.09905875156,0.386873286596,83,0.2,0.4,0.242464640788,0.886030334056,0.801697407278,2,0.958347713754,-0.128171729784,0.0932975838779,2.2360679775
20,28,0.000897871042304,0.00331913011715,-0.00135916115353,0.0308838086718,0.2,-0.6,0.448897871042,0.91551434966,-1.23055631815,27,0,-0.6,0.363319130117,-0.0347751609886,-1.23286719094,39,0.2,-0.4,0.246640838846,0.92178137545,-0.836916219368,2,0.277415137876,-0.261771786082,0.209347406242,1
21,57,0.00650642633555,0.00507918280387,0.00805718898208,0.00712888928098,-0.6,0,0.510506426336,-1.3149399004,-0.00502159879313,69,-0.4,0.2,0.301079182804,-1.10160994739,0.363496928225,58,-0.4,0,0.264057188982,-1.13334029216,0.0136659360946,2,0.191221903289,-0.16496306987,0.113448308382,1.41421356237
22,84,-0.0108689674656,-0.0106665495881,-0.00553535921156,0.0105904636932,0.4,0.4,0.533131032534,2.07030791327,0.804268650379,73,0.4,0.2,0.413333450412,2.09905875156,0.386873286596,83,0.2,0.4,0.242464640788,0.886030334056,0.801697407278,2,0.319119085778,-0.0332964488562,0.0267864705808,1
23,40,-0.000262740391395,0.000897871042304,-0.00135916115353,0.0173944851752,0.4,-0.4,0.543737259609,2.08697673277,-0.815934030073,28,0.2,-0.6,0.448897871042,0.91551434966,-1.23055631815,39,0.2,-0.4,0.246640838846,0.92178137545,-0.836916219368,2,0.762552507371,-0.253705184484,0.175835049428,1.41421356237
24,68,0.000928201718384,-0.00166642497317,0.00507918280387,0.0241081587135,-0.6,0.2,0.544928201718,-1.3083674621,0.378883954479,80,-0.4,0.4,0.414333575027,-1.12185660978,0.811568661588,69,-0.4,0.2,0.301079182804,-1.10160994739,0.363496928225,2,0.523079506674,-0.10974453109,0.0709878328117,1.41421356237
25,46,0.00728179383418,0.00650642633555,0.00927341871665,0.00257723929447,-0.6,-0.2,0.551281793834,-1.31772582588,-0.401212556992,57,-0.6,0,0.510506426336,-1.3149399004,-0.00502159879313,47,-0.4,-0.2,0.305273418717,-1.10314311438,-0.407758297288,2,0.390427664309,-0.0910322372367,0.0813213279915,1
