x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
1,-1,nan,nan,nan,nan,nan,nan
1,-0.8,nan,nan,nan,nan,nan,nan
1,-0.6,nan,nan,nan,nan,nan,nan
1,-0.4,nan,nan,nan,nan,nan,nan
1,-0.2,nan,nan,nan,nan,nan,nan
1,0,nan,nan,nan,nan,nan,nan
1,0.2,nan,nan,nan,nan,nan,nan
1,0.4,nan,nan,nan,nan,nan,nan
1,0.6,nan,nan,nan,nan,nan,nan
1,0.8,nan,nan,nan,nan,nan,nan
1,1,nan,nan,nan,nan,nan,nan
11,11,121,5,2,1
